පාඨශාලාව,පාසල
වර්ෂයක්, අවුරුද්දක්
අභියාචනා,පැමිණිලි
ශාරීරීක, ඇඟේ
නොඉක්මවන,  අඩු
අඛණ්ඩ, එක දිගට
තැනැත්තෙකුටම, කෙනෙකුටම
අයිතිවාසිකම, අයිතිය
බන්ධනාගාරගත, සිරගත
ප්‍රවර්ධනය , වැඩි දියුණු කිරීම
සපයනු ලබන, දෙනු ලබන
විධිවිධානවලට, නීති රීති
පාර්ශ්වයක්, පිරිසක්
දීර්ඝ, දිගු
අනුකූල, ගැලපෙන ලෙස
සාපරාධී, දරුණු
ලිඛිත, ලියු
පරිහරණ,  පාවිච්චි කරන
ප‍්‍රමාද දෝෂය, වැරැද්ද
නෛතික, නීති
විකල්ප, වෙනත්
පුළුල්, පළල්
විචලනයන්,  වෙනස්වීම්
උපයෝගී, පාවිච්චි
නිරීක්ෂණය,  සොයා බැලීම්
ස්වේච්ඡාවෙන්, තම කැමැත්තෙන්
ගෘහස්ථ, ගෙදර
ස්ථාපිත, පිහිටවා
සතු, අයිති
යුක්තව, ඇතිව
සුවිසල්, ලොකු
කාණ්ඩ, වර්ග
ත්‍යාග, තෑගි
ස්ථාවර, ස්ථිර
ආසන්න, කිට්ටු
පරිපාලිත, පාලනය කරනු ලබන
පිරිවැය, වියදම
උත්තරීතර, උතුම්
ප්‍රතිරූපය, බාහිර පෙනුම
මූලික , මුල්
නිවහන, නිවස
යටිතල පහසුකම්, පහසුකම්
කාර්යභාරයන්, කාර්යයන්
ස්ථානයන්හි, තැන්වල
අධික, විශාල
පිටත, පිට
අපහසු, අමාරු
පනත්,  නීති
වර්ධනයක්, වැඩිවීමක්
රාජ සන්තක,  රජයට අයිති
පරම්පරාගත,  පරම්පරාවෙන් එන
භුක්තිය, පාවිච්චි කිරීම
සාක්ෂි, සාක්කි
පටිපාටි, වැඩපිළිවෙළ
අපේක්ෂා, බලාපොරොත්තු
අවකාශ, ඉඩ
සමස්ත, මුළු
සංසන්දනාත්මක, සංසන්දනය කරන ලද
සවිස්තර, විස්තර කරන ලද
ක්ෂයවීම්, අඩුවීම
භූමියෙහි, බිමෙහි
අභ්‍යන්තර, ඇතුළත
සලසා, ලබාදී
විශාල, ලොකු
අවසන්, අන්තිම
සේවා කටයුතු, සේවා
අභිලාෂයන්, බලාපොරොත්තු
අපේක්ෂා, බලාපොරොත්තු
ආධාර, උපකාර
දැවැන්ත, ලොකු
විධිමත්, හරිහමන්
සැපයීම, ලබාදීම
අත්‍යවශ්‍යතාව, අනිවාර්ය
සැලසුම්කරණය, සැලසුම් කිරීම
විමසා, අසා
සීමිත, කුඩා
පාරදෘශ්‍ය, ඇතුළත පෙනෙන
සැපයිය, ලබාදිය
ආරක්ෂා, පරිස්සම්
විධිවිධාන, නීතිරීති
තක්සේරු, මැනීම්
යථා, පෙර පැවති
ප්‍රතිලාභ, ලාභ
වසරින්, අවුරුද්දෙන්
සෑම, හැම
ශේෂ, ඉතිරි
කාලසීමාව, කාලය
නිශ්චිත, නියමිත
පරිදි, ආකාරයට
මූල්‍යයන්, මුදල්
සමන්විත, ඇති
උපායමාර්ග, ක්‍රම
කටයුතු කරන ලදි, වැඩ කළා
ප්‍රතිශතයක්, ප්‍රමාණයක්
පූර්ව, මුල්
අවශ්‍යතාව, ඕනෑකම
අඛණ්ඩ, එක දිගට
අනුකූල, ලෙස
වැඩිදියුණු, දියුණු
විවෘත, පටන් ගැනීම
අන්තර්පළාත්, පළාත් අතර
යහපත්, හොඳ
වෘක්ෂ,ගස්
රුක්, ගස්
නවීන, අලුත්
අලස,කම්මැළි
මිත්‍රයා,යාළුවා
වෙහෙස,මහන්සිය
පක්ෂියා,කුරුල්ලා
පවන,සුළඟ
කෘශ,කෙට්ටු
පුෂ්ප,මල්
නැගණිය,නංගී
වස්ත්‍ර,ඇඳුම්
සමථය,එකඟතාවය
සොම්නස,සතුට
ව්‍යාධිය,ලෙඩ
ආකාශය,අහස
අවිශ්වාසය,සැකය
සංග්‍රාමය,සටන
උචිත,ගැළපෙන
පෝෂ්‍යදායක,ගුණදායක
පෞරාණික,පරණ
ඵලදාව, අස්වැන්න
මාතෘභූමිය, මව්බිම
කුසගින්න, බඩගින්න
ලෝහිත, ලේ
මඳක්,ටිකක්
ඡායාරූප, පින්තූර
පුවත්පත, පත්තරය
පෘථිවිය, පොළොව
පාෂාණය, ගල
මේඝ, වලාකුළු
ශීත, සීතල
මත්ස්‍යයා, මාළුවා
සරණ, පිහිට
ගෙල, බෙල්ල
ස්වාධීන, නිදහස්
ප්‍රාකාරය, තාප්පය
සශ්‍රීක, සරුසාර
මාණික්‍ය, මැණික්
යළිත්, නැවත
අඹුව,බිරිඳ
පිළිතුර, උත්තරය
කෝපය, තරහව
විචිත්‍ර, විසිතුරු
වනය, කැලෑව
දරිද්‍ර, දුප්පත්
